Title,Author,Publisher,Location,Year,Latitude,Longitude
Enciclopedia economica de Cuba republicana,"Jimenez, Guillermo",Ediciones Universal,"Miami, FL",2000,25.7616798,-80.1917902
Guide to the Princeton University Latin American Microfilm Collection,"Johnson, Peter T, Francisco Fonseca, and Edna Van Ness",Scholarly Resources Inc," Wilmington, DL",1992,39.7390721,-75.5397878
"Cuba, from Colony to Revolution: A Bibliography of Microforms","Johnson, Peter T, and Francisco J Fonseca.","SALAM, University of Texas Austin"," Austin, TX",1996,30.267153,-97.7430608
Cuban Exiles in Florida: Their Presence and Contributions,"Jorge, Antonio, Jaime Suchlicki, and Adolfo Leyva de Varona",University of Miami North-South Center,"Coral Gables, FL",1991,25.72149,-80.2683838
Bibliography of Cuban Mass Communications,"Lent, John A",Greenwood Press,"Westport, CN",1992,41.1414717,-73.3579049
Cuba's Comic Art Tradition,"Lent, John A",University of Arizona Press,"Tucson, AZ",1995,32.2226066,-110.9747108
"A Bibliography of Latin American and Caribbean Bibliographies, 1985-1989 : Social Sciences and Humanities","Loroña, Lionel V, and Arthur E. Gropp",Scarecrow Press,"Metuchen, NJ",1993,40.5431598,-74.3632049
"A Bibliography of Latin American Bibliographies, 1980-1984 : Social Sciences and Humanities","Loroña, Lionel V, and Arthur E. Gropp",Scarecrow Press,"Metuchen, NJ",1987,40.5431598,-74.3632049
Bibliografia cubana,"Marti, Biblioteca Nacional Jose",Consejo Nacional de Cultura,"La Habana, Cuba",1921,23.1135925,-82.3665956
"Encyclopedia of Cuba : people, history, culture","Martinez-Fernandez, Luis, et al. ",Greenwood Press,"Westport, CN",2003,41.1414717,-73.3579049
Cuba,"Mesa, Rosa Quintero",University Microfilms,"Ann Arbor, MI",1969,42.2808256,-83.7430378
Latin American Serial Documents: A Holdings List,"Mesa, Rosa Quintero",University Microfilms,"Ann Arbor, MI",1968,42.2808256,-83.7430378
Para la historia del periodismo en Cuba: un aporte bibliográfico,"Mota, Francisco",Editorial Oriente,"Santiago de Cuba, Cuba",1985,20.01693,-75.8301537
Diccionario biografico cubano,"Peraza Sarausa, Fermín",,"La Habana, Cuba",1956,23.1135925,-82.3665956
Directorio de archivos y museos de Cuba,"Peraza Sarausa, Fermin",University of Miami Press,"Coral Gables, FL",1968,25.72149,-80.2683838
Personalidades cubanas,"Peraza Sarausa, Fermín",,"Gainesville, FL",1964,29.6516344,-82.3248262
"Revolutionary Cuba, A Bibliographical Guide 1966","Peraza Sarausa, Fermín",University of Miami Press,"Coral Gables, FL",1967,25.72149,-80.2683838
Directorio de revistas y periódicos de Cuba,"Peraza Sarausa, Fermín, and Elena Vérez Peraza.",,"La Habana, Cuba",1942,23.1135925,-82.3665956
A Guide to Cuban Collections in the United States,"Pérez, Louis A. ",Greenwood Press,"New York, NY",1991,40.7127753,-74.0059728
Cuba: An Annotated Bibliography,"Pérez, Louis A.",Greenwood Press,"New York, NY",1988,40.7127753,-74.0059728
"The Cuban Revolutionary War, 1953-1958: A Bibliography","Pérez, Louis A",Scarecrow Press,"Metuchen, NJ",1976,40.5431598,-74.3632049
" A Bibliography of Latin American bibliographies, 1975-1979 : Social Sciences and Humanities","Piedracueva, Haydée, and Arthur E. Gropp",Scarecrow Press,"Metuchen, NJ",1982,40.5431598,-74.3632049
Diario de una traición; Cuba 1959,"Ruiz, Leovigildo",Florida Typesetting of Miami,"Miami, FL",1965,25.7616798,-80.1917902
Castro's Cuba in the 1970s,"Sobel, Lester A.",Facts on File,"New York, NY",1978,40.7127753,-74.0059728
"Bibliografía 'prensa clandestina revolucionaria,' 1952-1958","Soto Acosta, Jesús",Biblioteca Nacional José Martí,"La Habana, Cuba",1965,23.1135925,-82.3665956
Historical Dictionary of Cuba,"Suchlicki, Jaime",Scarecrow Press,"Metuchen, NJ",1988,40.5431598,-74.3632049
"Directory of Personalities of the Cuban Government, Official Organizations, and Mass Organizations",United States Central Intelligence Agency,Central Intelligence Agency,"Washington, D.C",1974,38.9071923,-77.0368707
Cuban Exile Periodicals at the University of Miami Library: An Annotated Bibliography.,"Varona, Esperanza Bravo de.",Seminar on the Acquisition of Latin American Library Materials,"Madison, WI",1987,43.0730517,-89.4012302
Posters of the Cuban Diaspora: A Bibliography,"Varona, Esperanza Bravo de",SALALM Secretariat General Library University of New Mexico,"Albuquerque, NM",1993,35.0843859,-106.650422
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
